Title,Link,Summary File,PDF File,Citation File
Hybrid Embedded Deep Stacked Sparse Autoencoder with w_LPPD SVM Ensemble,http://arxiv.org/abs/2002.06761v1,arxiv_summaries/Hybrid Embedded Deep Stacked Sparse Autoencoder with w_LPPD SVM Ensemble.txt,arxiv_pdfs/Hybrid Embedded Deep Stacked Sparse Autoencoder with w_LPPD SVM Ensemble.pdf,arxiv_citations/Hybrid Embedded Deep Stacked Sparse Autoencoder with w_LPPD SVM Ensemble.bib
Model-Agnostic Interpretability of Machine Learning,http://arxiv.org/abs/1606.05386v1,arxiv_summaries/Model-Agnostic Interpretability of Machine Learning.txt,arxiv_pdfs/Model-Agnostic Interpretability of Machine Learning.pdf,arxiv_citations/Model-Agnostic Interpretability of Machine Learning.bib
Learning Fair Rule Lists,http://arxiv.org/abs/1909.03977v2,arxiv_summaries/Learning Fair Rule Lists.txt,arxiv_pdfs/Learning Fair Rule Lists.pdf,arxiv_citations/Learning Fair Rule Lists.bib
Interpretation of Prediction Models Using the Input Gradient,http://arxiv.org/abs/1611.07634v1,arxiv_summaries/Interpretation of Prediction Models Using the Input Gradient.txt,arxiv_pdfs/Interpretation of Prediction Models Using the Input Gradient.pdf,arxiv_citations/Interpretation of Prediction Models Using the Input Gradient.bib
"On Two XAI Cultures: A Case Study of Non-technical Explanations in
  Deployed AI System",http://arxiv.org/abs/2112.01016v1,"arxiv_summaries/On Two XAI Cultures A Case Study of Non-technical Explanations in
  Deployed AI System.txt","arxiv_pdfs/On Two XAI Cultures A Case Study of Non-technical Explanations in
  Deployed AI System.pdf","arxiv_citations/On Two XAI Cultures A Case Study of Non-technical Explanations in
  Deployed AI System.bib"
"Development of Interpretable Machine Learning Models to Detect
  Arrhythmia based on ECG Data",http://arxiv.org/abs/2205.02803v2,"arxiv_summaries/Development of Interpretable Machine Learning Models to Detect
  Arrhythmia based on ECG Data.txt","arxiv_pdfs/Development of Interpretable Machine Learning Models to Detect
  Arrhythmia based on ECG Data.pdf","arxiv_citations/Development of Interpretable Machine Learning Models to Detect
  Arrhythmia based on ECG Data.bib"
"Depth Selection for Deep ReLU Nets in Feature Extraction and
  Generalization",http://arxiv.org/abs/2004.00245v1,"arxiv_summaries/Depth Selection for Deep ReLU Nets in Feature Extraction and
  Generalization.txt","arxiv_pdfs/Depth Selection for Deep ReLU Nets in Feature Extraction and
  Generalization.pdf","arxiv_citations/Depth Selection for Deep ReLU Nets in Feature Extraction and
  Generalization.bib"
On the Robustness of Interpretability Methods,http://arxiv.org/abs/1806.08049v1,arxiv_summaries/On the Robustness of Interpretability Methods.txt,arxiv_pdfs/On the Robustness of Interpretability Methods.pdf,arxiv_citations/On the Robustness of Interpretability Methods.bib
Cybertrust: From Explainable to Actionable and Interpretable AI (AI2),http://arxiv.org/abs/2201.11117v1,arxiv_summaries/Cybertrust From Explainable to Actionable and Interpretable AI (AI2).txt,arxiv_pdfs/Cybertrust From Explainable to Actionable and Interpretable AI (AI2).pdf,arxiv_citations/Cybertrust From Explainable to Actionable and Interpretable AI (AI2).bib
"GENESIM: genetic extraction of a single, interpretable model",http://arxiv.org/abs/1611.05722v1,"arxiv_summaries/GENESIM genetic extraction of a single, interpretable model.txt","arxiv_pdfs/GENESIM genetic extraction of a single, interpretable model.pdf","arxiv_citations/GENESIM genetic extraction of a single, interpretable model.bib"
Characterizing the Decision Boundary of Deep Neural Networks,http://arxiv.org/abs/1912.11460v3,arxiv_summaries/Characterizing the Decision Boundary of Deep Neural Networks.txt,arxiv_pdfs/Characterizing the Decision Boundary of Deep Neural Networks.pdf,arxiv_citations/Characterizing the Decision Boundary of Deep Neural Networks.bib
Explainability and the Fourth AI Revolution,http://arxiv.org/abs/2111.06773v1,arxiv_summaries/Explainability and the Fourth AI Revolution.txt,arxiv_pdfs/Explainability and the Fourth AI Revolution.pdf,arxiv_citations/Explainability and the Fourth AI Revolution.bib
Feature Importance Ranking for Deep Learning,http://arxiv.org/abs/2010.08973v1,arxiv_summaries/Feature Importance Ranking for Deep Learning.txt,arxiv_pdfs/Feature Importance Ranking for Deep Learning.pdf,arxiv_citations/Feature Importance Ranking for Deep Learning.bib
Beyond XAI:Obstacles Towards Responsible AI,http://arxiv.org/abs/2309.03638v1,arxiv_summaries/Beyond XAIObstacles Towards Responsible AI.txt,arxiv_pdfs/Beyond XAIObstacles Towards Responsible AI.pdf,arxiv_citations/Beyond XAIObstacles Towards Responsible AI.bib
Feature Importance Measure for Non-linear Learning Algorithms,http://arxiv.org/abs/1611.07567v1,arxiv_summaries/Feature Importance Measure for Non-linear Learning Algorithms.txt,arxiv_pdfs/Feature Importance Measure for Non-linear Learning Algorithms.pdf,arxiv_citations/Feature Importance Measure for Non-linear Learning Algorithms.bib
SegNBDT: Visual Decision Rules for Segmentation,http://arxiv.org/abs/2006.06868v1,arxiv_summaries/SegNBDT Visual Decision Rules for Segmentation.txt,arxiv_pdfs/SegNBDT Visual Decision Rules for Segmentation.pdf,arxiv_citations/SegNBDT Visual Decision Rules for Segmentation.bib
"FiBiNET: Combining Feature Importance and Bilinear feature Interaction
  for Click-Through Rate Prediction",http://arxiv.org/abs/1905.09433v1,"arxiv_summaries/FiBiNET Combining Feature Importance and Bilinear feature Interaction
  for Click-Through Rate Prediction.txt","arxiv_pdfs/FiBiNET Combining Feature Importance and Bilinear feature Interaction
  for Click-Through Rate Prediction.pdf","arxiv_citations/FiBiNET Combining Feature Importance and Bilinear feature Interaction
  for Click-Through Rate Prediction.bib"
"DeepView: Visualizing Classification Boundaries of Deep Neural Networks
  as Scatter Plots Using Discriminative Dimensionality Reduction",http://arxiv.org/abs/1909.09154v2,"arxiv_summaries/DeepView Visualizing Classification Boundaries of Deep Neural Networks
  as Scatter Plots Using Discriminative Dimensionality Reduction.txt","arxiv_pdfs/DeepView Visualizing Classification Boundaries of Deep Neural Networks
  as Scatter Plots Using Discriminative Dimensionality Reduction.pdf","arxiv_citations/DeepView Visualizing Classification Boundaries of Deep Neural Networks
  as Scatter Plots Using Discriminative Dimensionality Reduction.bib"
"Learning and Visualizing Localized Geometric Features Using 3D-CNN: An
  Application to Manufacturability Analysis of Drilled Holes",http://arxiv.org/abs/1711.04851v3,"arxiv_summaries/Learning and Visualizing Localized Geometric Features Using 3D-CNN An
  Application to Manufacturability Analysis of Drilled Holes.txt","arxiv_pdfs/Learning and Visualizing Localized Geometric Features Using 3D-CNN An
  Application to Manufacturability Analysis of Drilled Holes.pdf","arxiv_citations/Learning and Visualizing Localized Geometric Features Using 3D-CNN An
  Application to Manufacturability Analysis of Drilled Holes.bib"
"ST-ABN: Visual Explanation Taking into Account Spatio-temporal
  Information for Video Recognition",http://arxiv.org/abs/2110.15574v1,"arxiv_summaries/ST-ABN Visual Explanation Taking into Account Spatio-temporal
  Information for Video Recognition.txt","arxiv_pdfs/ST-ABN Visual Explanation Taking into Account Spatio-temporal
  Information for Video Recognition.pdf","arxiv_citations/ST-ABN Visual Explanation Taking into Account Spatio-temporal
  Information for Video Recognition.bib"
